City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
199,Ulety,51.36,112.48,61.5,72,84,2.21,RU,broken clouds
200,Longyearbyen,78.22,15.64,39.2,86,75,8.05,SJ,broken clouds
201,Severo-Kurilsk,50.68,156.12,58.26,85,89,6.69,RU,overcast clouds
202,Tuktoyaktuk,69.45,-133.04,44.6,70,5,10.29,CA,clear sky
203,Vaitape,-16.52,-151.75,78.4,77,2,10.16,PF,light rain
204,Laguna,38.42,-121.42,95.0,31,1,3.36,US,haze
205,Georgetown,5.41,100.34,87.8,70,20,4.7,MY,few clouds
206,Cananea,30.95,-110.3,77.0,34,0,1.19,MX,clear sky
207,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
208,Iquitos,-3.75,-73.25,75.29,90,31,1.14,PE,scattered clouds
209,Torbay,47.67,-52.73,57.0,76,75,12.75,CA,broken clouds
210,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
211,Upernavik,72.79,-56.15,34.32,87,99,8.46,GL,overcast clouds
212,Dayong,25.02,118.29,86.0,74,20,6.71,CN,few clouds
213,Amazar,53.86,120.88,71.22,41,0,4.63,RU,clear sky
214,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
215,Griffith,41.53,-87.42,75.99,83,90,21.92,US,overcast clouds
216,Sur,22.57,59.53,88.27,50,8,2.3,OM,clear sky
217,Cidreira,-30.18,-50.21,57.31,88,100,15.93,BR,light rain
218,Kapaa,22.08,-159.32,82.4,74,40,13.87,US,scattered clouds
219,Iqaluit,63.75,-68.51,39.2,80,40,6.93,CA,scattered clouds
220,Bredasdorp,-34.53,20.04,44.6,93,0,2.24,ZA,clear sky
221,Kavieng,-2.57,150.8,85.41,70,2,12.12,PG,clear sky
222,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
223,Sisimiut,66.94,-53.67,37.96,77,17,6.89,GL,few clouds
224,Male,4.17,73.51,84.2,83,75,12.75,MV,broken clouds
225,Saint-Augustin,51.23,-58.65,51.33,80,0,8.32,CA,clear sky
226,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
227,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
228,Butaritari,3.07,172.79,83.32,75,99,14.99,KI,overcast clouds
229,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
230,Taltal,-25.4,-70.48,55.47,70,44,3.09,CL,scattered clouds
231,Hasaki,35.73,140.83,93.0,63,75,17.22,JP,broken clouds
232,Waddan,29.16,16.14,70.65,65,0,8.14,LY,clear sky
233,Namuac,18.61,121.17,84.79,73,28,3.85,PH,light rain
234,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
235,Isangel,-19.55,169.27,75.24,75,100,15.57,VU,overcast clouds
236,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
237,Vaini,-21.2,-175.2,75.2,64,75,12.75,TO,broken clouds
238,Biak,-0.91,122.88,81.43,77,99,8.9,ID,moderate rain
239,Provideniya,64.38,-173.3,44.6,65,75,26.84,RU,broken clouds
240,Yakeshi,49.28,120.73,66.38,60,0,5.26,CN,clear sky
241,Poum,-20.23,164.02,73.45,77,100,11.48,NC,overcast clouds
242,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
243,Avarua,-21.21,-159.78,68.0,82,39,8.05,CK,light rain
244,Hermanus,-34.42,19.23,52.23,84,4,7.61,ZA,clear sky
245,Butaritari,3.07,172.79,83.32,75,99,14.99,KI,overcast clouds
246,Bluff,-46.6,168.33,52.68,76,17,12.44,NZ,few clouds
247,Machiques,10.06,-72.55,76.62,83,94,4.05,VE,light rain
248,Saskylakh,71.92,114.08,52.05,55,33,9.78,RU,scattered clouds
249,Chuy,-33.7,-53.46,49.06,87,0,7.29,UY,clear sky
250,Hun,29.13,15.95,70.52,64,0,7.11,LY,clear sky
251,Avera,33.19,-82.53,69.8,60,1,4.7,US,clear sky
252,Lompoc,34.64,-120.46,73.99,64,1,3.36,US,clear sky
253,Rocha,-34.48,-54.33,43.14,91,0,2.86,UY,clear sky
254,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
255,Leh,34.17,77.58,56.95,38,1,6.73,IN,clear sky
256,Albany,42.6,-73.97,60.01,71,7,3.11,US,clear sky
