City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Meridian,US,2020-09-06 02:20:51,43.61,-116.39,89.6,32,1,8.3
112,Egvekinot,RU,2020-09-06 02:20:55,66.32,-179.17,42.21,70,61,7.38
113,Iqaluit,CA,2020-09-06 02:20:55,63.75,-68.51,48.0,65,20,12.75
114,Acapulco,MX,2020-09-06 02:19:08,16.86,-99.89,82.4,78,90,2.24
115,Batticaloa,LK,2020-09-06 02:20:55,7.71,81.69,81.72,77,98,6.26
116,Carnarvon,AU,2020-09-06 02:20:56,-24.87,113.63,68.0,77,75,9.17
117,Dawlatabad,AF,2020-09-06 02:20:56,36.41,64.91,68.85,25,0,5.88
118,Lebu,CL,2020-09-06 02:17:44,-37.62,-73.65,47.73,87,16,5.68
119,Longyearbyen,SJ,2020-09-06 02:20:56,78.22,15.64,42.8,100,90,5.82
120,Kogon,UZ,2020-09-06 02:20:57,39.72,64.55,60.8,26,0,11.41
121,Tuktoyaktuk,CA,2020-09-06 02:20:57,69.45,-133.04,37.4,86,90,10.29
122,Tocopilla,CL,2020-09-06 02:16:04,-22.09,-70.2,62.13,57,25,9.01
123,Caconda,AO,2020-09-06 02:20:57,-13.73,15.07,53.71,64,10,1.03
124,Olinda,BR,2020-09-06 02:18:53,-8.01,-34.86,77.0,69,8,11.41
125,Vallenar,CL,2020-09-06 02:20:58,-28.57,-70.76,57.81,36,0,0.11
126,Bethel,US,2020-09-06 02:17:18,41.37,-73.41,63.0,77,1,4.7
127,Galveston,US,2020-09-06 02:20:58,29.37,-94.97,87.8,66,20,4.7
128,Bataipora,BR,2020-09-06 02:20:58,-22.3,-53.27,74.44,41,100,5.61
129,Faanui,PF,2020-09-06 02:20:59,-16.48,-151.75,78.82,71,1,7.81
130,Mahebourg,MU,2020-09-06 02:20:59,-20.41,57.7,64.4,93,20,8.05
131,Olbia,IT,2020-09-06 02:20:59,40.92,9.49,62.6,82,0,2.24
132,Ilulissat,GL,2020-09-06 02:18:49,69.22,-51.1,39.2,86,100,9.17
133,Bogande,BF,2020-09-06 02:21:00,12.97,-0.14,73.29,91,100,10.04
134,Kemijarvi,FI,2020-09-06 02:21:00,66.71,27.43,46.29,95,40,6.35
135,Mahendranagar,NP,2020-09-06 02:21:00,28.92,80.33,82.13,72,0,2.51
136,Ambulu,ID,2020-09-06 02:21:00,-8.35,113.61,81.3,67,13,4.27
137,Cairns,AU,2020-09-06 02:21:01,-16.92,145.77,84.0,45,30,18.34
138,Diu,IN,2020-09-06 02:21:01,20.71,70.98,81.48,84,100,6.31
139,Tiksi,RU,2020-09-06 02:17:29,71.69,128.87,44.38,81,100,10.85
140,Paamiut,GL,2020-09-06 02:21:02,61.99,-49.67,46.98,87,1,17.81
141,Ambanja,MG,2020-09-06 02:21:02,-13.68,48.45,63.84,77,2,5.14
142,Baykit,RU,2020-09-06 02:18:43,61.67,96.37,49.75,77,84,3.87
143,Nikolskoye,RU,2020-09-06 02:21:02,59.7,30.79,57.99,87,90,2.24
144,Winslow,US,2020-09-06 02:21:03,35.02,-110.7,93.2,7,1,1.92
145,Kunigal,IN,2020-09-06 02:21:03,13.02,77.03,82.0,94,90,4.5
146,Mandalgovi,MN,2020-09-06 02:21:03,45.76,106.27,64.09,53,0,8.79
147,Luderitz,NA,2020-09-06 02:21:04,-26.65,15.16,56.91,72,0,22.06
148,Marzuq,YE,2020-09-06 02:21:04,14.4,46.47,77.09,49,0,1.79
149,Mezen,RU,2020-09-06 02:21:04,65.85,44.24,55.02,96,100,7.07
150,Saldanha,ZA,2020-09-06 02:19:47,-33.01,17.94,50.0,87,0,5.82
151,Kostomuksha,RU,2020-09-06 02:21:05,64.57,30.58,50.29,94,90,6.22
152,Mahibadhoo,MV,2020-09-06 02:21:05,3.78,72.97,82.06,68,100,29.75
