City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Salalah,OM,78.8,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
552,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
554,Douglas,US,84.2,clear sky,41.3,-96.17,Hilton Garden Inn Omaha West
555,Meulaboh,ID,85.78,few clouds,4.14,96.13,Kost Pria
556,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
557,Kavieng,PG,85.41,clear sky,-2.57,150.8,Nusa Island Retreat
562,Bengkulu,ID,84.87,clear sky,-3.8,102.27,Grage Hotel Bengkulu
564,Kanbe,MM,84.2,broken clouds,16.71,96.0,CBT Mingalar Bar Bio Garden
573,Zhuzhou,CN,75.2,overcast clouds,27.83,113.15,Feifan Chengpin Hotel Shanmutang
605,Lorengau,PG,83.86,light rain,-2.02,147.27,Lorengau Harbourside Hotel
608,Yurimaguas,PE,76.89,scattered clouds,-5.9,-76.08,Rio Huallaga Hotel & Business Center
616,Meulaboh,ID,85.78,few clouds,4.14,96.13,Kost Pria
620,Shingu,JP,80.6,broken clouds,33.73,135.98,Shingu UI Hotel
621,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
630,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
632,Rangpur,BD,87.49,moderate rain,25.75,89.25,Hotel Shah Amanat
633,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.08,Scoop Guest House
636,Bengkulu,ID,84.87,clear sky,-3.8,102.27,Grage Hotel Bengkulu
638,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
641,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
643,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
644,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
645,Baran,IN,86.54,light rain,25.1,76.52,Hotel shri ji
652,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
668,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
676,Hede,CN,82.27,light rain,33.77,120.25,Vienna 3 Best Hotel Sheyang Jiefang Rd
683,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
685,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
687,Madang,PG,85.6,clear sky,-5.22,145.8,Comfort Inn Hotel
688,Gao,ML,80.1,clear sky,16.64,1.64,
690,Nabire,ID,83.61,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
